"NAME","MINSS","MINSSCOORDS","MAXSS","MAXSSCOORDS","MINS1","MINS1COORDS","MAXS1","MAXS1COORDS","MINPGA","MINPGACOORDS","MAXPGA","MAXPGACOORDS"
"Arkansas",0.1354733,"33.02,-94.04",2.8142872,"36,-89.8",0.074486109,"33.02,-94.04",1.1171769,"36,-89.8",0.064549,"33.02,-94.04",1.8,"36,-89.8"
"Connecticut",0.15544881,"41.31,-71.91",0.2643921,"41,-73.66",0.056826747,"41.31,-71.91",0.07111692,"41.1,-73.72",0.076961,"41.26,-72.1",0.15593,"41,-73.66"
"Iowa",0.050645351,"43.49,-93.2",0.12291191,"40.39,-91.38",0.033692534,"43.5,-95",0.075047401,"40.39,-91.38",0.023515,"43.49,-93.4",0.057802,"40.39,-91.38"
"Kentucky",0.14362096,"39.14,-84.73",2.9038282,"36.57,-89.56",0.071681722,"38.75,-82.88",1.1526067,"36.57,-89.56",0.065679,"39.14,-84.76",1.8744,"36.57,-89.56"
"Michigan",0.040606029,"48.3,-88.36",0.11936065,"41.74,-83.41",0.015625499,"48.24,-88.69",0.060346184,"41.77,-87.2",0.018862,"47.41,-86.11",0.058106,"41.74,-83.41"
"New Jersey",0.099263432,"38.8,-75.01",0.28251076,"40.9,-74",0.044712109,"38.8,-75.01",0.072802756,"40.9,-74",0.046038,"38.8,-75.01",0.16968,"40.9,-74"
"District of Columbia",0.11767163,"38.87,-76.94",0.11918355,"38.99,-77.04",0.050670699,"38.89,-76.92",0.051131153,"38.93,-77.11",0.055476,"38.87,-76.94",0.056351,"38.99,-77.04"
"Alaska",0.0055,"71.4,-156.6",2.865456,"59,-137.9",0.0032499924,"71.2,-156.2",2.482272,"59,-137.9",0.005,"71.3,-156.95",1.35234,"59,-137.9"
"Alabama",0.083423974,"30.2,-87.65",0.40116355,"35,-88.2",0.051341983,"30.18,-87.8",0.17532813,"35,-88.2",0.038948,"30.2,-87.65",0.20774,"34.65,-85.54"
"California",0.20446575,"34.35,-114.18",3.729924,"34.46,-119.01",0.1066106,"34.35,-114.18",1.389258,"34.4,-118.76",0.074375,"34.3,-114.14",1.50282,"40.7,-124.15"
"Colorado",0.070339811,"40.7,-102.06",0.47678939,"37.15,-105.5",0.035584521,"40.7,-102.06",0.14330105,"37.7,-105.55",0.030245,"40.6,-102.06",0.23585,"37,-104.9"
"Florida",0.016265046,"24.6,-82.98",0.13479201,"30.71,-81.35",0.011675797,"24.6,-82.98",0.067901595,"30.71,-81.35",0.0079925,"24.6,-82.98",0.064694,"30.71,-81.35"
"Georgia",0.087130754,"30.72,-84.86",0.4106162,"34.98,-84.9",0.05421172,"30.71,-84.82",0.13237543,"32.46,-81.2",0.039751,"30.72,-84.86",0.25079,"34.98,-84.9"
"Hawaii",0.11079166,"21.66,-160.6",2.6699999,"19.5,-155.48",0.031399468,"21.66,-160.6",1.2299999,"19.5,-155.48",0.06087559,"21.66,-160.6",1.42,"19.5,-155.48"
"Illinois",0.077866786,"42.5,-90.64",2.5956425,"37,-89.19",0.048454619,"42.5,-90.64",1.0018701,"37,-89.19",0.036926,"42.5,-90.64",1.701,"37,-89.19"
"Indiana",0.094095974,"41.76,-86",0.72582442,"37.82,-88.09",0.053361342,"41.76,-84.81",0.24412898,"37.82,-88.09",0.043193,"41.76,-86",0.40709,"37.82,-88.09"
"Kansas",0.069498437,"40,-101.5",0.15904896,"39.2,-96.4",0.034065022,"40,-100.9",0.078559114,"37,-94.62",0.030873,"40,-101.6",0.08877,"39.2,-96.4"
"Maryland",0.078180621,"38.04,-75.16",0.19039859,"39.72,-75.79",0.041376381,"38.07,-75.14",0.058579056,"39.72,-75.79",0.034639,"38.04,-75.16",0.1049,"39.72,-75.79"
"Massachusetts",0.10291906,"41.2,-69.96",0.26809803,"42.88,-70.9",0.044747064,"41.2,-69.96",0.078777081,"42.88,-70.94",0.047804,"41.2,-69.96",0.15424,"42.88,-70.9"
"Minnesota",0.029373805,"49.38,-95.15",0.089890125,"45.6,-96.2",0.012164005,"49.36,-94.94",0.037982945,"43.51,-91.22",0.013272,"49.38,-95.15",0.045289,"45.6,-96.2"
"Mississippi",0.088349604,"30.16,-88.39",0.96339087,"34.99,-90.3",0.052188062,"30.15,-88.42",0.33908079,"34.99,-90.3",0.04153,"30.16,-88.39",0.55609,"34.99,-90.3"
"Missouri",0.07949117,"40.57,-94",3.0169104,"36.7,-89.6",0.049284196,"40.58,-95.77",1.2215487,"36.7,-89.6",0.03729,"40.57,-94",1.9552,"36.7,-89.6"
"Montana",0.056012272,"48.99,-108.1",1.7123886,"44.65,-111.55",0.022755035,"48.99,-108.29",0.56137676,"44.6,-111.7",0.025451,"48.99,-108.1",0.68304,"44.6,-111.65"
"Nebraska",0.067973234,"40.6,-101.4",0.16173853,"43,-104.05",0.033196741,"41.2,-100.1",0.053681804,"40,-95.31",0.029652,"40.6,-101.6",0.083575,"42.99,-101.9"
"Nevada",0.2502701,"35.01,-114.64",2.6016848,"39.2,-119.75",0.095754808,"39.65,-114.1",0.93805981,"39.2,-119.75",0.092511,"35.01,-114.64",1.0023,"39.2,-119.75"
"New Hampshire",0.18054508,"42.77,-72.51",0.30601709,"43.6,-71.4",0.069833742,"42.73,-72.45",0.09036424,"43.9,-71.5",0.085515,"42.77,-72.51",0.17866,"43.6,-71.4"
"New York",0.11953573,"42.01,-76.9",0.56006807,"44.99,-74.3",0.050086914,"42,-79.2",0.14145589,"44.99,-74.3",0.054006,"42.01,-76.8",0.35521,"44.99,-74.3"
"North Carolina",0.070281416,"35.65,-75.41",0.41470636,"35.52,-83.87",0.042280112,"35.65,-75.41",0.14413858,"34.29,-79.06",0.032633,"35.65,-75.41",0.25132,"35.52,-83.87"
"North Dakota",0.032636923,"49,-97.23",0.16599951,"48.9,-104.04",0.014202385,"49,-97.23",0.034893661,"48.8,-104.04",0.014791,"49,-97.23",0.097609,"48.9,-104.04"
"Ohio",0.10011447,"40,-81.2",0.22665556,"41.7,-81",0.050375566,"41.95,-83.11",0.080526219,"39.11,-84.82",0.044929,"39.9,-81.2",0.1385,"41.7,-81"
"Oklahoma",0.089401824,"36.99,-101.1",0.49826916,"34.7,-98.3",0.03883497,"36.99,-101.7",0.14067531,"34.7,-98.3",0.041016,"36.99,-101.06",0.21334,"34.8,-98.2"
"Oregon",0.25957757,"43.1,-117.03",2.3792072,"42.83,-124.66",0.096111701,"43.1,-117.03",1.0679616,"42.85,-124.65",0.10611,"43.23,-117.03",1.1514,"42.85,-124.65"
"Pennsylvania",0.10388543,"39.91,-80.51",0.2228104,"40.3,-74.88",0.048730098,"41.1,-78.6",0.064285762,"40.4,-74.98",0.046574,"39.9,-80.51",0.12476,"40.3,-74.88"
"Rhode Island",0.1357286,"41.1,-71.56",0.18038179,"42.01,-71.39",0.052193495,"41.11,-71.52",0.063294034,"42.01,-71.39",0.065717,"41.1,-71.56",0.091932,"42.01,-71.39"
"South Carolina",0.24699235,"35.16,-81.25",1.8980439,"33.3,-80",0.10255917,"34.51,-83.07",0.67393538,"33.3,-80",0.1187,"35.16,-81.25",1.3241,"33.3,-80"
"South Dakota",0.057718402,"45.94,-102",0.1616814,"43.01,-104.05",0.024350294,"45.93,-98.75",0.051517338,"43.01,-104.05",0.025148,"45.94,-102.1",0.088985,"44,-98.6"
"Tennessee",0.20316966,"36.62,-85.2",3.0601519,"36.2,-89.5",0.095404766,"36.61,-81.65",1.2588334,"36.2,-89.5",0.091706,"36.62,-85.21",1.9832,"36.2,-89.5"
"Texas",0.032106691,"25.84,-97.38",0.6242908,"31.35,-105.9",0.012666369,"25.84,-97.38",0.18571451,"31.35,-105.9",0.014222,"25.84,-97.38",0.29198,"31.35,-105.9"
"Utah",0.12947731,"37,-109.1",1.7197519,"41,-112.35",0.046693623,"37,-109.2",0.66072094,"40.85,-111.9",0.0594,"37,-109.05",0.7649,"41,-112.35"
"Vermont",0.17479433,"42.74,-72.9",0.45084639,"44.99,-73.35",0.069450512,"42.74,-72.8",0.12324756,"44.99,-73.35",0.081485,"42.74,-72.9",0.272,"44.99,-73.35"
"Virginia",0.077639689,"37.87,-75.28",0.32678961,"36.6,-83.5",0.041393753,"38.01,-75.18",0.11003971,"36.6,-83.64",0.034388,"37.87,-75.28",0.18686,"36.6,-83.5"
"Washington",0.28832506,"46.7,-117.04",1.6692686,"48.05,-123.4",0.10250759,"48.99,-117.04",0.74765801,"47.33,-124.39",0.12282,"48.9,-118.1",0.75593,"48.1,-123.6"
"West Virginia",0.10228284,"39.91,-80.8",0.26633217,"37.24,-81.22",0.052260418,"39.59,-77.83",0.090785301,"37.21,-81.68",0.045627,"39.9,-80.8",0.15215,"37.3,-80.96"
"Wisconsin",0.040605533,"46.2,-91.4",0.1114539,"42.5,-88.59",0.016360476,"47.14,-91.02",0.05374344,"42.5,-88.6",0.018456,"46.1,-91.6",0.055622,"42.5,-88.6"
"Wyoming",0.093632414,"44.99,-104.06",2.4210935,"44.25,-110.45",0.037587364,"44.99,-104.06",0.8088412,"41.95,-110.85",0.042194,"44.99,-104.06",0.94209,"42,-110.85"
"Arizona",0.12662455,"36.79,-109.05",0.97848733,"32.5,-114.81",0.044763599,"36.5,-109.2",0.33332843,"32.5,-114.81",0.058588,"36.8,-109.05",0.34812,"32.5,-114.81"
"Delaware",0.085640307,"38.46,-74.99",0.2012049,"39.83,-75.6",0.042292091,"38.46,-74.99",0.059997856,"39.83,-75.6",0.038624,"38.46,-74.99",0.11197,"39.83,-75.6"
"Idaho",0.18703842,"42.8,-114.2",1.7079623,"42.7,-111.05",0.078094357,"42.7,-114.4",0.53786912,"44.6,-111.52",0.064864,"42.8,-114.1",0.65696,"44.65,-111.48"
"Louisiana",0.073795804,"29.6,-93.81",0.2090076,"33,-91.17",0.041337034,"29.6,-93.81",0.10637802,"33,-91.17",0.035052,"29.6,-93.81",0.10317,"33,-91.17"
"Maine",0.14851986,"43.74,-68.82",0.48078483,"47.21,-69.48",0.061452887,"43.74,-68.82",0.14675461,"47.21,-69.48",0.069433,"43.74,-68.82",0.26278,"47.21,-69.48"
"New Mexico",0.078897563,"33.9,-103.7",0.62455519,"36,-106.15",0.031645884,"33.7,-103.4",0.18293007,"36,-106.2",0.034834,"33.9,-104",0.26228,"36,-106.15"
